   	#	(	)	*	+	,	-	/	0	;	=	A	C	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	U	V	W	Y	Z	b	c	f	q	r	s	t	u	v	w	x	y	{	}	
22	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	s47	 0	 0	 0	 0	 0	 0	 0	 0	 0	
23	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r12	 0	 0	r12	r12	 0	r12	 0	 0	r12	
24	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r33	 0	 0	r33	r33	 0	r33	 0	 0	r33	
25	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r38	 0	 0	r38	r38	 0	r38	 0	 0	r38	
26	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r40	 0	 0	r40	r40	 0	r40	 0	 0	r40	
27	 0	s39	 0	 0	 0	 0	 0	 0	s36	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G48	G33	G34	G35	 0	 0	 0	 0	G49	 0	 0	 0	 0	 0	s38	s37	 0	 0	 0	 0	 0	 0	 0	 0	 0	
28	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	s50	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
29	 0	s51	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
30	 0	s52	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
31	r13	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
32	 0	 0	 0	 0	 0	 0	 0	 0	 0	s53	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
33	 0	 0	 0	 0	 0	 0	 0	 0	 0	r15	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G54	 0	 0	 0	 0	 0	 0	 0	 0	 0	s55	 0	 0	
34	 0	 0	 0	 0	s57	 0	s58	 0	 0	r16	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G56	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r16	 0	 0	
35	 0	 0	 0	s60	r22	 0	r22	s61	 0	r22	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G59	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r22	 0	 0	
36	 0	 0	 0	r28	r28	 0	r28	r28	 0	r28	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r28	 0	 0	
37	 0	s63	 0	r29	r29	 0	r29	r29	 0	r29	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G62	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r29	 0	 0	
38	 0	 0	 0	r30	r30	 0	r30	r30	 0	r30	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r30	 0	 0	
39	 0	s71	 0	 0	 0	 0	 0	 0	s68	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G65	G66	G67	 0	 0	 0	 0	G64	 0	 0	 0	 0	 0	s70	s69	 0	 0	 0	 0	 0	 0	 0	 0	 0	
40	 0	s39	 0	 0	 0	 0	 0	 0	s36	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G72	G33	G34	G35	 0	 0	 0	 0	G32	 0	 0	 0	 0	 0	s38	s37	 0	 0	 0	 0	 0	 0	 0	 0	 0	
41	 0	s71	 0	 0	 0	 0	 0	 0	s68	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G65	G66	G67	 0	 0	 0	 0	G73	 0	 0	 0	 0	 0	s70	s69	 0	 0	 0	 0	 0	 0	 0	 0	 0	
42	 0	s71	 0	 0	 0	 0	 0	 0	s68	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G65	G66	G67	 0	 0	 0	 0	G74	 0	 0	 0	 0	 0	s70	s69	 0	 0	 0	 0	 0	 0	 0	 0	 0	
43	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	s75	
44	r4	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
45	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G76	 0	G20	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r7	s22	 0	r7	r7	 0	r7	 0	 0	 0	
46	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r10	
47	 0	 0	 0	 0	 0	 0	 0	 0	 0	r8	s77	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
48	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r13	 0	 0	r13	r13	 0	r13	 0	 0	r13	
49	 0	 0	 0	 0	 0	 0	 0	 0	 0	s78	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
