   	#	(	)	*	+	,	-	/	0	;	=	A	B	C	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	U	V	W	Y	Z	b	c	f	q	r	s	t	u	v	w	x	y	{	}	
21	 0	 0	 0	 0	 0	 0	 0	 0	 0	s46	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
22	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G47	 0	G22	G27	G26	G24	G25	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	s29	 0	 0	s28	s31	 0	s30	 0	 0	r12	
23	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	s48	 0	 0	 0	 0	 0	 0	 0	 0	 0	
24	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r13	 0	 0	r13	r13	 0	r13	 0	 0	r13	
25	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r34	 0	 0	r34	r34	 0	r34	 0	 0	r34	
26	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r39	 0	 0	r39	r39	 0	r39	 0	 0	r39	
27	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r41	 0	 0	r41	r41	 0	r41	 0	 0	r41	
28	 0	s40	 0	 0	 0	 0	 0	 0	s37	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G49	G34	G35	G36	 0	 0	 0	 0	G50	 0	 0	 0	 0	 0	s39	s38	 0	 0	 0	 0	 0	 0	 0	 0	 0	
29	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	s51	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
30	 0	s52	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
31	 0	s53	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
32	r14	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
33	 0	 0	 0	 0	 0	 0	 0	 0	 0	s54	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
34	 0	 0	 0	 0	 0	 0	 0	 0	 0	r16	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G55	 0	 0	 0	 0	 0	 0	 0	 0	 0	s56	 0	 0	
35	 0	 0	 0	 0	s58	 0	s59	 0	 0	r17	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G57	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r17	 0	 0	
36	 0	 0	 0	s61	r23	 0	r23	s62	 0	r23	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G60	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r23	 0	 0	
37	 0	 0	 0	r29	r29	 0	r29	r29	 0	r29	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r29	 0	 0	
38	 0	s64	 0	r30	r30	 0	r30	r30	 0	r30	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G63	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r30	 0	 0	
39	 0	 0	 0	r31	r31	 0	r31	r31	 0	r31	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r31	 0	 0	
40	 0	s72	 0	 0	 0	 0	 0	 0	s69	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G66	G67	G68	 0	 0	 0	 0	G65	 0	 0	 0	 0	 0	s71	s70	 0	 0	 0	 0	 0	 0	 0	 0	 0	
41	 0	s40	 0	 0	 0	 0	 0	 0	s37	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G73	G34	G35	G36	 0	 0	 0	 0	G33	 0	 0	 0	 0	 0	s39	s38	 0	 0	 0	 0	 0	 0	 0	 0	 0	
42	 0	s72	 0	 0	 0	 0	 0	 0	s69	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G66	G67	G68	 0	 0	 0	 0	G74	 0	 0	 0	 0	 0	s71	s70	 0	 0	 0	 0	 0	 0	 0	 0	 0	
43	 0	s72	 0	 0	 0	 0	 0	 0	s69	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G66	G67	G68	 0	 0	 0	 0	G75	 0	 0	 0	 0	 0	s71	s70	 0	 0	 0	 0	 0	 0	 0	 0	 0	
44	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	s76	
45	r5	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
46	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G77	 0	G21	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r8	s23	 0	r8	r8	 0	r8	 0	 0	 0	
47	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r11	
